portal_id,notice_count,pct_of_corpus,body_len_mean,body_len_median,body_len_p95,title_len_mean,npas_boilerplate_pct,spc_boilerplate_pct,corrigendum_pct,uppercase_title_pct
P146,79,0.658,4219.6,4206.0,5164.7,81.8,0.0,0.0,19.0,0.0
P073,69,0.575,4251.4,4231.0,5469.0,79.9,0.0,0.0,23.2,100.0
P096,55,0.458,4058.5,3940.0,5360.0,79.3,0.0,0.0,18.2,0.0
P120,54,0.45,3452.4,3500.0,3500.0,79.0,0.0,0.0,1.9,0.0
P228,53,0.442,4187.1,4109.0,5292.2,78.9,0.0,0.0,26.4,0.0
P235,53,0.442,4162.9,4206.0,5266.8,83.3,0.0,0.0,13.2,0.0
P241,48,0.4,4061.6,4104.0,5307.8,78.5,0.0,0.0,14.6,0.0
P167,48,0.4,4130.1,4094.5,5304.45,79.2,0.0,0.0,16.7,0.0
P141,46,0.383,4329.5,4362.5,5355.0,83.2,0.0,0.0,32.6,0.0
P216,45,0.375,4083.1,4130.0,5406.0,78.3,0.0,0.0,24.4,0.0
P255,45,0.375,4121.2,3918.0,5525.599999999999,78.5,0.0,0.0,35.6,100.0
P229,45,0.375,4025.5,4003.0,5263.8,83.7,0.0,0.0,26.7,0.0
P238,45,0.375,4260.6,4345.0,5430.599999999999,81.8,0.0,0.0,22.2,0.0
P122,44,0.367,4291.9,4277.0,5508.45,82.5,0.0,0.0,27.3,100.0
P183,43,0.358,4202.6,4323.0,5148.6,79.8,0.0,0.0,14.0,0.0
P041,41,0.342,4338.8,4297.0,5519.0,84.0,0.0,0.0,34.1,0.0
P207,40,0.333,4172.0,4263.5,5458.95,83.0,0.0,0.0,32.5,0.0
P069,39,0.325,4217.2,4257.0,5555.900000000001,82.0,0.0,0.0,23.1,0.0
P097,38,0.317,4360.9,4543.0,5471.05,79.4,0.0,0.0,26.3,0.0
P180,37,0.308,3462.2,3500.0,3500.0,78.9,0.0,0.0,0.0,0.0
P106,37,0.308,4103.6,4171.0,5299.599999999999,80.5,0.0,0.0,27.0,0.0
P028,37,0.308,4160.6,4114.0,5248.399999999999,83.4,0.0,0.0,29.7,0.0
P225,36,0.3,4160.3,4263.0,5211.0,83.8,0.0,0.0,19.4,0.0
P091,36,0.3,4331.0,4545.0,5285.5,82.8,0.0,0.0,30.6,0.0
P014,36,0.3,4198.6,4128.0,5565.0,80.4,0.0,0.0,36.1,0.0
P129,35,0.292,4388.3,4286.0,5554.8,83.9,0.0,0.0,20.0,0.0
P214,35,0.292,4501.7,4512.0,5540.4,83.3,0.0,0.0,22.9,0.0
P061,35,0.292,4109.9,4160.0,5053.5,80.3,0.0,0.0,25.7,0.0
P021,35,0.292,4110.8,4265.0,5225.299999999999,80.9,0.0,0.0,8.6,0.0
P046,34,0.283,1500.0,1500.0,1500.0,78.0,0.0,0.0,0.0,0.0
P246,34,0.283,4035.2,3891.5,5133.95,82.7,0.0,0.0,17.6,0.0
P071,33,0.275,4266.3,4377.0,5276.8,87.2,0.0,0.0,36.4,0.0
P057,33,0.275,4141.4,4061.0,5276.2,82.1,0.0,0.0,15.2,0.0
P098,32,0.267,4033.7,4136.5,4983.75,81.1,0.0,0.0,25.0,0.0
P089,32,0.267,4103.1,4078.0,5419.55,85.9,0.0,0.0,37.5,0.0
P217,32,0.267,3816.2,3709.0,5066.9,78.9,0.0,0.0,12.5,0.0
P195,32,0.267,4111.0,4112.5,5260.85,77.6,0.0,0.0,18.8,0.0
P031,31,0.258,4217.3,4400.0,5107.0,79.1,0.0,0.0,22.6,100.0
P042,31,0.258,4283.2,4142.0,5546.0,82.5,0.0,0.0,19.4,0.0
P202,30,0.25,3451.8,3500.0,3500.0,82.3,0.0,0.0,3.3,0.0
P026,30,0.25,4191.5,4045.0,5281.0,87.3,0.0,0.0,33.3,0.0
P211,30,0.25,4135.2,4192.5,5325.049999999999,78.7,0.0,0.0,20.0,100.0
P081,27,0.225,4060.5,4014.0,5363.099999999999,81.9,0.0,0.0,7.4,0.0
P056,27,0.225,4366.0,4284.0,5643.2,83.8,0.0,0.0,29.6,0.0
P184,26,0.217,3474.2,3500.0,3500.0,79.4,0.0,0.0,3.8,0.0
P175,26,0.217,4333.8,4394.0,5231.75,80.6,0.0,0.0,26.9,0.0
P053,26,0.217,4252.2,4335.5,5134.5,79.4,0.0,0.0,19.2,0.0
P172,26,0.217,4072.7,4140.0,5213.25,83.3,0.0,0.0,30.8,0.0
P166,25,0.208,4091.2,3900.0,5414.999999999999,75.3,0.0,0.0,20.0,0.0
P137,24,0.2,4207.8,4327.5,5336.349999999999,81.2,0.0,0.0,16.7,0.0
P239,23,0.192,3998.7,3590.0,5265.0,81.1,0.0,0.0,39.1,0.0
P112,23,0.192,4455.3,4345.0,5517.0,80.4,0.0,0.0,26.1,100.0
P116,23,0.192,4414.4,4514.0,5331.9,82.2,0.0,0.0,30.4,100.0
P199,23,0.192,4199.6,4414.0,4926.6,82.7,0.0,0.0,13.0,0.0
P244,22,0.183,1500.0,1500.0,1500.0,81.8,0.0,0.0,0.0,0.0
P142,22,0.183,1500.0,1500.0,1500.0,81.8,0.0,0.0,0.0,0.0
P087,22,0.183,3929.5,3945.5,4678.45,82.0,0.0,0.0,18.2,0.0
P060,22,0.183,4091.6,3949.0,5221.05,78.1,0.0,0.0,9.1,0.0
P257,22,0.183,4013.5,3961.5,4991.099999999999,79.1,0.0,0.0,27.3,0.0
P242,22,0.183,4145.8,4227.0,5196.7,74.8,0.0,0.0,22.7,100.0
P065,21,0.175,4223.8,4237.0,5150.0,77.1,0.0,0.0,14.3,0.0
P191,21,0.175,4007.0,4150.0,5266.0,82.0,0.0,0.0,19.0,0.0
P143,21,0.175,4369.0,4482.0,5441.0,83.0,0.0,0.0,38.1,0.0
P131,21,0.175,3500.0,3500.0,3500.0,77.0,0.0,0.0,9.5,0.0
P064,20,0.167,3939.4,3939.0,5218.05,78.8,0.0,0.0,20.0,0.0
P077,20,0.167,4199.1,4159.0,5348.95,81.8,0.0,0.0,30.0,0.0
P105,20,0.167,4082.5,4000.0,5246.200000000001,79.2,0.0,0.0,25.0,0.0
P219,20,0.167,4179.6,4212.0,5344.6,82.8,0.0,0.0,25.0,0.0
P231,19,0.158,4038.8,4244.0,4861.199999999999,82.6,0.0,0.0,10.5,0.0
P049,19,0.158,4087.5,4217.0,4976.299999999999,81.6,0.0,0.0,15.8,0.0
P147,19,0.158,3970.1,4101.0,5165.4,81.0,0.0,0.0,26.3,0.0
P213,19,0.158,4327.8,4282.0,5540.599999999999,80.2,0.0,0.0,15.8,0.0
P203,19,0.158,4217.7,4248.0,5082.599999999999,76.8,0.0,0.0,26.3,0.0
P209,19,0.158,1500.0,1500.0,1500.0,80.1,0.0,0.0,0.0,0.0
P058,19,0.158,4086.3,4119.0,4891.199999999999,76.3,0.0,0.0,15.8,0.0
P250,18,0.15,3895.9,4033.5,4785.349999999999,81.5,0.0,0.0,16.7,0.0
P168,18,0.15,3981.6,3955.5,5327.249999999999,86.7,0.0,0.0,22.2,0.0
P063,18,0.15,3913.9,3825.0,4857.35,87.6,0.0,0.0,33.3,100.0
P027,18,0.15,4278.4,4345.0,5102.9,79.8,0.0,0.0,22.2,0.0
P222,18,0.15,4089.9,4145.5,5363.499999999999,79.3,0.0,0.0,22.2,0.0
P059,17,0.142,4173.3,3984.0,5267.2,77.1,0.0,0.0,0.0,0.0
P179,16,0.133,4119.2,4207.0,5289.75,80.3,0.0,0.0,31.2,0.0
P152,16,0.133,4231.6,4012.5,5116.25,83.9,0.0,0.0,18.8,0.0
P038,16,0.133,4045.2,3896.5,5314.5,79.5,0.0,0.0,18.8,0.0
P236,16,0.133,4171.9,4411.5,4903.75,80.9,0.0,0.0,25.0,0.0
P099,16,0.133,4261.4,4107.5,5513.75,85.3,0.0,0.0,12.5,0.0
P048,15,0.125,3932.2,3860.0,5149.099999999999,72.9,0.0,0.0,13.3,0.0
P127,15,0.125,4164.7,4046.0,5156.9,80.7,0.0,0.0,13.3,100.0
P194,15,0.125,4323.5,4492.0,5221.0,81.0,0.0,0.0,20.0,0.0
P047,15,0.125,4166.0,3952.0,5077.7,81.9,0.0,0.0,20.0,0.0
P017,15,0.125,3854.7,3621.0,5079.7,83.7,0.0,0.0,20.0,0.0
P039,14,0.117,4336.9,4438.0,5316.4,80.2,0.0,0.0,14.3,0.0
P036,14,0.117,4167.4,4067.0,5525.25,81.6,0.0,0.0,14.3,0.0
P196,14,0.117,3806.2,3845.5,5127.4,80.6,0.0,0.0,35.7,0.0
P163,14,0.117,4282.1,4058.5,5398.25,76.9,0.0,0.0,35.7,0.0
P084,14,0.117,1500.0,1500.0,1500.0,78.0,0.0,0.0,0.0,0.0
P111,14,0.117,4375.1,4446.5,5122.05,78.2,0.0,0.0,7.1,100.0
P133,14,0.117,3835.6,3602.5,5565.9,78.5,0.0,0.0,7.1,0.0
P140,14,0.117,1500.0,1500.0,1500.0,81.5,0.0,0.0,0.0,0.0
P151,14,0.117,1500.0,1500.0,1500.0,85.3,0.0,0.0,0.0,0.0
P248,14,0.117,3450.1,3500.0,3500.0,80.1,0.0,0.0,0.0,0.0
P016,13,0.108,1500.0,1500.0,1500.0,79.8,0.0,0.0,0.0,0.0
P153,13,0.108,1500.0,1500.0,1500.0,86.1,0.0,0.0,0.0,0.0
P253,13,0.108,4037.5,4159.0,4786.2,84.5,0.0,0.0,38.5,0.0
P208,13,0.108,4463.9,4183.0,5495.0,83.3,0.0,0.0,23.1,0.0
P054,13,0.108,4152.0,4418.0,5346.4,84.8,0.0,0.0,30.8,0.0
P075,13,0.108,3955.5,3883.0,5057.599999999999,77.2,0.0,0.0,7.7,0.0
P037,13,0.108,1500.0,1500.0,1500.0,76.3,0.0,0.0,0.0,0.0
P260,13,0.108,4406.4,4607.0,5190.799999999999,82.4,0.0,0.0,46.2,0.0
P170,13,0.108,4140.7,4095.0,5406.0,81.6,0.0,0.0,38.5,0.0
P052,12,0.1,4329.0,4415.0,5723.849999999999,83.7,0.0,0.0,16.7,0.0
P182,12,0.1,4532.7,4715.0,5517.65,82.7,0.0,0.0,25.0,0.0
P024,12,0.1,4035.4,4103.0,5052.25,78.8,0.0,0.0,33.3,0.0
P086,12,0.1,4281.6,4472.5,5298.45,84.2,0.0,0.0,33.3,0.0
P192,12,0.1,3500.0,3500.0,3500.0,76.5,0.0,0.0,8.3,0.0
P117,12,0.1,1500.0,1500.0,1500.0,79.5,0.0,0.0,0.0,0.0
P104,12,0.1,4209.5,4227.0,5506.6,86.9,0.0,0.0,33.3,0.0
P223,12,0.1,4100.8,4043.5,4765.099999999999,79.8,0.0,0.0,16.7,0.0
P040,12,0.1,3745.9,3597.5,4947.3,81.0,0.0,0.0,33.3,0.0
P185,11,0.092,4165.1,4078.0,5350.0,74.0,0.0,0.0,18.2,0.0
P007,11,0.092,4204.0,4222.0,4945.5,81.5,0.0,0.0,9.1,0.0
P011,11,0.092,1500.0,1500.0,1500.0,80.5,0.0,0.0,0.0,0.0
P078,11,0.092,4017.8,3988.0,5248.0,80.0,0.0,0.0,9.1,0.0
P072,11,0.092,4020.7,4046.0,4663.5,86.9,0.0,0.0,18.2,0.0
P234,11,0.092,3972.3,4235.0,4748.0,77.1,0.0,0.0,9.1,0.0
P190,11,0.092,3705.2,3613.0,4720.0,77.5,0.0,0.0,18.2,0.0
P124,11,0.092,3985.7,4265.0,5217.5,78.8,0.0,0.0,9.1,0.0
P114,11,0.092,1500.0,1500.0,1500.0,84.2,0.0,0.0,0.0,0.0
P160,11,0.092,3925.9,3922.0,4914.0,88.5,0.0,0.0,27.3,0.0
P249,11,0.092,4050.4,4071.0,5090.5,76.7,0.0,0.0,0.0,0.0
P148,11,0.092,4284.6,4238.0,5285.5,75.0,0.0,0.0,9.1,0.0
P062,11,0.092,4150.6,4225.0,4931.5,75.7,0.0,0.0,9.1,0.0
P035,11,0.092,4128.1,4008.0,5420.5,85.2,0.0,0.0,9.1,0.0
P050,10,0.083,4273.0,4317.5,5100.099999999999,74.9,0.0,0.0,20.0,0.0
P165,10,0.083,4150.2,4137.0,5098.1,79.2,0.0,0.0,20.0,0.0
P008,10,0.083,1500.0,1500.0,1500.0,73.7,0.0,0.0,0.0,0.0
P258,10,0.083,3803.1,3804.5,4818.199999999999,80.9,0.0,0.0,40.0,0.0
P034,10,0.083,4080.3,3921.0,4973.45,81.5,0.0,0.0,30.0,100.0
P018,10,0.083,4156.9,4234.5,5060.049999999999,77.4,0.0,0.0,20.0,0.0
P193,10,0.083,4364.4,4399.5,5380.7,84.3,0.0,0.0,20.0,100.0
P197,10,0.083,4005.4,3891.5,5145.849999999999,75.3,0.0,0.0,10.0,0.0
P100,10,0.083,4477.7,4508.5,5456.849999999999,77.2,0.0,0.0,10.0,0.0
P159,10,0.083,4075.1,4042.0,5098.949999999999,83.9,0.0,0.0,20.0,0.0
P107,10,0.083,1500.0,1500.0,1500.0,86.7,0.0,0.0,0.0,0.0
P156,10,0.083,4280.9,4116.5,5467.65,82.6,0.0,0.0,20.0,0.0
P068,10,0.083,4145.1,4326.0,5033.2,81.3,0.0,0.0,30.0,100.0
P177,9,0.075,4234.2,4139.0,5354.4,81.9,0.0,0.0,33.3,0.0
P108,9,0.075,3946.9,3928.0,4660.2,77.7,0.0,0.0,33.3,0.0
P090,9,0.075,1500.0,1500.0,1500.0,82.2,0.0,0.0,0.0,0.0
P045,9,0.075,4219.7,4089.0,5459.599999999999,80.9,0.0,0.0,22.2,100.0
P259,9,0.075,3582.3,3515.0,4454.599999999999,84.8,0.0,0.0,22.2,0.0
P254,9,0.075,1500.0,1500.0,1500.0,79.0,0.0,0.0,0.0,0.0
P103,9,0.075,4030.7,3647.0,5311.6,79.3,0.0,0.0,11.1,0.0
P134,9,0.075,4076.4,4322.0,5443.8,84.7,0.0,0.0,44.4,0.0
P144,9,0.075,4337.4,4085.0,5406.8,89.7,0.0,0.0,22.2,0.0
P139,9,0.075,4337.8,4565.0,5487.599999999999,82.0,0.0,0.0,11.1,0.0
P210,8,0.067,4310.6,4589.0,5055.35,83.6,0.0,0.0,12.5,0.0
P067,8,0.067,4024.9,3955.0,5168.849999999999,75.1,0.0,0.0,12.5,0.0
P015,8,0.067,1500.0,1500.0,1500.0,73.8,0.0,0.0,0.0,0.0
P095,8,0.067,4212.2,4158.0,5284.55,85.0,0.0,0.0,25.0,0.0
P115,8,0.067,3967.0,3729.5,5378.099999999999,83.2,0.0,0.0,25.0,0.0
P138,8,0.067,3463.1,3500.0,3500.0,86.1,0.0,0.0,0.0,0.0
P101,8,0.067,4565.0,4346.5,5413.799999999999,81.2,0.0,0.0,12.5,0.0
P109,8,0.067,4493.6,4603.0,5270.5,76.2,0.0,0.0,0.0,0.0
P029,8,0.067,4248.2,4298.0,5026.2,78.1,0.0,0.0,25.0,0.0
P204,8,0.067,4092.9,3903.0,5500.9,73.4,0.0,0.0,12.5,0.0
P025,8,0.067,1500.0,1500.0,1500.0,70.5,0.0,0.0,0.0,0.0
P012,7,0.058,3905.0,3496.0,5070.9,82.9,0.0,0.0,14.3,0.0
P121,7,0.058,3923.9,3869.0,4848.299999999999,73.7,0.0,0.0,14.3,0.0
P233,7,0.058,1500.0,1500.0,1500.0,79.9,0.0,0.0,0.0,0.0
P243,7,0.058,4507.9,4615.0,5377.5,86.3,0.0,0.0,57.1,0.0
P245,7,0.058,1500.0,1500.0,1500.0,76.6,0.0,0.0,0.0,0.0
P010,7,0.058,4321.6,4588.0,4809.599999999999,86.0,0.0,0.0,14.3,0.0
P150,7,0.058,4184.0,4049.0,5096.0,80.1,0.0,0.0,0.0,0.0
P145,7,0.058,1500.0,1500.0,1500.0,79.9,0.0,0.0,0.0,0.0
P162,7,0.058,4163.6,4227.0,5504.799999999999,85.1,0.0,0.0,14.3,0.0
P051,7,0.058,4226.3,3866.0,5209.7,78.1,0.0,0.0,28.6,0.0
P113,7,0.058,3950.0,3929.0,4865.4,74.1,0.0,0.0,14.3,0.0
P218,7,0.058,3500.0,3500.0,3500.0,71.9,0.0,0.0,0.0,0.0
P043,7,0.058,4158.6,3887.0,5317.3,82.1,0.0,0.0,28.6,0.0
P224,7,0.058,4073.0,4109.0,4645.5,80.0,0.0,0.0,28.6,0.0
P023,7,0.058,4219.6,3952.0,5047.299999999999,83.9,0.0,0.0,28.6,0.0
P198,7,0.058,4471.0,4381.0,5271.299999999999,87.1,0.0,0.0,14.3,0.0
P019,7,0.058,4412.0,4434.0,5164.3,81.6,0.0,0.0,42.9,0.0
P093,7,0.058,4564.0,4818.0,5481.0,79.1,0.0,0.0,28.6,0.0
P158,7,0.058,4793.0,4809.0,5478.7,88.4,0.0,0.0,42.9,100.0
P237,6,0.05,3995.2,3946.5,4572.0,76.7,0.0,0.0,0.0,0.0
P247,6,0.05,3953.0,3985.0,4815.75,79.8,0.0,0.0,16.7,100.0
P076,6,0.05,4585.0,4548.0,5477.5,92.2,0.0,0.0,33.3,0.0
P079,6,0.05,4276.8,4185.0,4942.5,70.7,0.0,0.0,33.3,0.0
P070,6,0.05,3569.8,3573.5,4527.75,84.7,0.0,0.0,33.3,0.0
P188,6,0.05,4013.3,3977.0,4535.0,90.3,0.0,0.0,33.3,0.0
P157,6,0.05,3500.0,3500.0,3500.0,73.5,0.0,0.0,0.0,0.0
P033,6,0.05,3956.0,3737.0,4744.5,77.8,0.0,0.0,0.0,0.0
P032,6,0.05,4162.7,4486.5,5060.75,87.3,0.0,0.0,33.3,0.0
P230,6,0.05,4168.2,4086.5,5383.75,73.3,0.0,0.0,50.0,0.0
P102,6,0.05,4488.7,4525.0,5047.25,72.2,0.0,0.0,33.3,0.0
P066,6,0.05,1500.0,1500.0,1500.0,72.5,0.0,0.0,0.0,0.0
P173,6,0.05,3500.0,3500.0,3500.0,79.5,0.0,0.0,16.7,0.0
P135,6,0.05,4764.5,4843.0,5430.5,82.5,0.0,0.0,0.0,0.0
P080,6,0.05,3530.8,3539.5,4084.0,69.2,0.0,0.0,0.0,100.0
P169,6,0.05,3466.2,3326.5,3904.25,83.5,0.0,0.0,33.3,100.0
P174,6,0.05,4179.0,4150.5,4672.75,84.8,0.0,0.0,33.3,0.0
P083,6,0.05,4291.8,4269.0,4789.75,80.2,0.0,0.0,33.3,0.0
P205,6,0.05,3543.2,3588.5,4710.75,80.7,0.0,0.0,33.3,0.0
P252,5,0.042,4010.6,4006.0,5143.0,91.4,0.0,0.0,20.0,100.0
P161,5,0.042,3864.6,3981.0,4543.0,89.8,0.0,0.0,40.0,0.0
P176,5,0.042,4085.4,4017.0,5278.599999999999,88.4,0.0,0.0,60.0,0.0
P226,5,0.042,4370.6,4368.0,5115.2,76.0,0.0,0.0,20.0,0.0
P085,5,0.042,3849.8,3628.0,4868.0,71.2,0.0,0.0,0.0,0.0
P130,5,0.042,4380.0,4670.0,5108.0,82.2,0.0,0.0,20.0,0.0
P154,5,0.042,3995.8,4020.0,4352.2,79.4,0.0,0.0,0.0,0.0
P186,5,0.042,4091.0,4039.0,4763.4,90.6,0.0,0.0,20.0,0.0
P187,5,0.042,3828.4,3520.0,5056.8,78.8,0.0,0.0,40.0,0.0
P220,5,0.042,4257.0,4047.0,4674.0,79.2,0.0,0.0,0.0,0.0
P178,5,0.042,4019.4,3693.0,5057.0,78.0,0.0,0.0,20.0,0.0
P030,5,0.042,3754.0,3561.0,4624.0,92.0,0.0,0.0,40.0,0.0
P009,4,0.033,4075.2,4197.0,4707.45,63.0,0.0,0.0,25.0,100.0
P155,4,0.033,3565.8,3642.5,4207.099999999999,86.2,0.0,0.0,0.0,0.0
P164,4,0.033,4523.5,4465.0,5447.55,77.2,0.0,0.0,25.0,0.0
P092,4,0.033,3770.8,3453.5,4780.45,88.2,0.0,0.0,50.0,0.0
P123,4,0.033,1500.0,1500.0,1500.0,79.2,0.0,0.0,0.0,0.0
P251,4,0.033,4390.5,4358.0,4807.95,77.2,0.0,0.0,50.0,0.0
P125,4,0.033,3500.0,3500.0,3500.0,94.5,0.0,0.0,0.0,0.0
P128,4,0.033,4486.0,4545.0,5307.7,69.2,0.0,0.0,0.0,0.0
P132,4,0.033,4007.8,3950.0,5052.2,82.5,0.0,0.0,0.0,0.0
P201,4,0.033,3401.0,3500.0,3500.0,78.5,0.0,0.0,0.0,0.0
P206,4,0.033,4266.0,4552.0,4606.35,66.0,0.0,0.0,0.0,0.0
P022,4,0.033,1500.0,1500.0,1500.0,71.5,0.0,0.0,0.0,0.0
P055,4,0.033,4219.2,4204.5,5347.099999999999,83.8,0.0,0.0,0.0,0.0
P126,3,0.025,1500.0,1500.0,1500.0,76.3,0.0,0.0,0.0,0.0
P256,3,0.025,3500.0,3500.0,3500.0,84.7,0.0,0.0,33.3,0.0
P074,3,0.025,5153.3,5277.0,5345.4,107.0,0.0,0.0,66.7,0.0
P171,2,0.017,4719.5,4719.5,5470.55,67.5,0.0,0.0,0.0,100.0
P082,2,0.017,3741.5,3741.5,4135.25,78.0,0.0,0.0,0.0,0.0
P149,2,0.017,4476.5,4476.5,5092.55,95.5,0.0,0.0,50.0,100.0
P118,2,0.017,4271.0,4271.0,4974.8,82.0,0.0,0.0,0.0,0.0
P119,2,0.017,3892.5,3892.5,4460.85,73.5,0.0,0.0,0.0,0.0
P110,2,0.017,4513.0,4513.0,4599.4,97.0,0.0,0.0,100.0,100.0
P212,2,0.017,4233.0,4233.0,4463.4,65.5,0.0,0.0,0.0,100.0
